Geração,Iteração,Fitness
8,1,148.317,duplicate,
8,2,148.317,duplicate,
8,3,148.317,duplicate,
8,4,148.317,duplicate,
8,5,148.317,duplicate,
8,6,155.326
8,7,146.598
8,8,145.7
8,9,148.317,duplicate,
8,10,148.317,duplicate,
8,11,148.317,duplicate,
8,12,148.317,duplicate,
8,13,148.317,duplicate,
8,14,148.317,duplicate,
8,15,155.326,duplicate,
8,16,134.479
8,17,148.317,duplicate,
8,18,148.317,duplicate,
8,19,148.317,duplicate,
8,20,148.317,duplicate,
8,21,148.317,duplicate,
8,22,148.317,duplicate,
8,23,155.326,duplicate,
8,24,163.605
8,25,185.433
8,26,165.645
8,27,191.384
8,28,183.769
8,29,190.259
8,30,189.975
8,31,155.326,duplicate,
9,0,145.7
9,1,145.7,duplicate,
9,2,148.317
9,3,148.317,duplicate,
9,4,148.317,duplicate,
9,5,148.317,duplicate,
9,6,148.317,duplicate,
9,7,134.479
9,8,134.479,duplicate,
9,9,145.7,duplicate,
9,10,146.598
9,11,148.317,duplicate,
9,12,148.317,duplicate,
9,13,148.317,duplicate,
9,14,148.317,duplicate,
9,15,134.479,duplicate,
9,16,134.479,duplicate,
9,17,145.7,duplicate,
9,18,146.598,duplicate,
9,19,148.317,duplicate,
9,20,148.317,duplicate,
9,21,148.317,duplicate,
9,22,148.317,duplicate,
9,23,134.479,duplicate,
9,24,216.766
9,25,204.367
9,26,180.897
9,27,148.317,duplicate,
9,28,121.374
9,29,139.873
9,30,194.791
9,31,213.248
10,0,121.374
10,1,134.479
10,2,134.479,duplicate,
10,3,134.479,duplicate,
10,4,134.479,duplicate,
10,5,139.873
10,6,113.862
10,7,134.479,duplicate,
10,8,121.374,duplicate,
10,9,134.479,duplicate,
10,10,134.479,duplicate,
10,11,134.479,duplicate,
10,12,134.479,duplicate,
10,13,134.479,duplicate,
10,14,103.951
10,15,145.7
10,16,134.479,duplicate,
10,17,134.479,duplicate,
10,18,134.479,duplicate,
10,19,134.479,duplicate,
10,20,134.479,duplicate,
10,21,116.785
10,22,103.951,duplicate,
10,23,134.479,duplicate,
10,24,193.096
10,25,134.479,duplicate,
10,26,134.678
10,27,172.202
10,28,208.051
10,29,208.294
10,30,181.32
10,31,185.432
11,0,103.951
11,1,113.862
11,2,116.785
11,3,103.951,duplicate,
11,4,121.374
11,5,121.374,duplicate,
11,6,134.479
11,7,134.479,duplicate,
11,8,103.951,duplicate,
11,9,103.951,duplicate,
11,10,113.862,duplicate,
11,11,116.785,duplicate,
11,12,121.374,duplicate,
11,13,121.374,duplicate,
11,14,134.479,duplicate,
11,15,134.479,duplicate,
11,16,103.951,duplicate,
11,17,113.862,duplicate,
11,18,113.862,duplicate,
11,19,134.87
11,20,121.374,duplicate,
11,21,121.374,duplicate,
11,22,134.479,duplicate,
11,23,134.479,duplicate,
11,24,135.98
11,25,170.299
11,26,187.007
11,27,157.553
11,28,117.581
11,29,122.437
11,30,185.493
11,31,185.939
12,0,103.951
12,1,103.951,duplicate,
12,2,103.951,duplicate,
12,3,103.951,duplicate,
12,4,113.862
12,5,113.862,duplicate,
12,6,113.862,duplicate,
12,7,103.951,duplicate,
12,8,103.951,duplicate,
12,9,103.951,duplicate,
12,10,103.951,duplicate,
12,11,103.951,duplicate,
12,12,103.951,duplicate,
12,13,113.862,duplicate,
12,14,113.862,duplicate,
12,15,113.862,duplicate,
12,16,103.951,duplicate,
12,17,103.951,duplicate,
