Geração,Iteração,Fitness
8,2,551.485,duplicate,
8,3,551.485,duplicate,
8,4,551.485,duplicate,
8,5,558.786
8,6,558.786,duplicate,
8,7,551.485,duplicate,
8,8,551.485,duplicate,
8,9,551.485,duplicate,
8,10,551.485,duplicate,
8,11,551.485,duplicate,
8,12,551.485,duplicate,
8,13,551.485,duplicate,
8,14,558.786,duplicate,
8,15,558.786,duplicate,
8,16,551.485,duplicate,
8,17,551.485,duplicate,
8,18,551.485,duplicate,
8,19,551.485,duplicate,
8,20,551.485,duplicate,
8,21,558.786,duplicate,
8,22,558.786,duplicate,
8,23,551.485,duplicate,
8,24,577.817
8,25,605.804
8,26,563.486
8,27,590.316
8,28,584.688
8,29,563.853
8,30,603.12
8,31,573.272
9,0,551.485
9,1,551.485,duplicate,
9,2,551.485,duplicate,
9,3,551.485,duplicate,
9,4,551.485,duplicate,
9,5,551.485,duplicate,
9,6,551.485,duplicate,
9,7,551.485,duplicate,
9,8,551.485,duplicate,
9,9,551.485,duplicate,
9,10,551.485,duplicate,
9,11,551.485,duplicate,
9,12,551.485,duplicate,
9,13,551.485,duplicate,
9,14,551.485,duplicate,
9,15,551.485,duplicate,
9,16,551.485,duplicate,
9,17,551.485,duplicate,
9,18,551.485,duplicate,
9,19,551.485,duplicate,
9,20,551.485,duplicate,
9,21,551.485,duplicate,
9,22,551.485,duplicate,
9,23,551.485,duplicate,
9,24,595.462
9,25,579.999
9,26,588.809
9,27,578.859
9,28,579.538
9,29,579.537
9,30,593.832
9,31,614.579
10,0,551.485
10,1,551.485,duplicate,
10,2,551.485,duplicate,
10,3,551.485,duplicate,
10,4,551.485,duplicate,
10,5,551.485,duplicate,
10,6,551.485,duplicate,
10,7,551.485,duplicate,
10,8,551.485,duplicate,
10,9,551.485,duplicate,
10,10,551.485,duplicate,
10,11,551.485,duplicate,
10,12,551.485,duplicate,
10,13,551.485,duplicate,
10,14,551.485,duplicate,
10,15,551.485,duplicate,
10,16,551.485,duplicate,
10,17,551.485,duplicate,
10,18,551.485,duplicate,
10,19,551.485,duplicate,
10,20,551.485,duplicate,
10,21,551.485,duplicate,
10,22,551.485,duplicate,
10,23,551.485,duplicate,
10,24,601.397
10,25,551.485,duplicate,
10,26,552.233
10,27,593.832
10,28,583.387
10,29,572.419
10,30,589.146
10,31,577.6
11,0,551.485
11,1,551.485,duplicate,
11,2,551.485,duplicate,
11,3,551.485,duplicate,
11,4,551.485,duplicate,
11,5,551.485,duplicate,
11,6,551.485,duplicate,
11,7,551.485,duplicate,
11,8,551.485,duplicate,
11,9,551.485,duplicate,
11,10,551.485,duplicate,
11,11,551.485,duplicate,
11,12,551.485,duplicate,
11,13,551.485,duplicate,
11,14,551.485,duplicate,
11,15,551.485,duplicate,
11,16,551.485,duplicate,
11,17,551.485,duplicate,
11,18,551.485,duplicate,
11,19,551.485,duplicate,
11,20,551.485,duplicate,
11,21,551.485,duplicate,
11,22,551.485,duplicate,
11,23,551.485,duplicate,
11,24,602.385
11,25,552.876
11,26,569.24
11,27,608.241
11,28,592.138
11,29,551.32
11,30,579.828
11,31,575.198
12,0,562.508
12,1,551.485
12,2,551.485,duplicate,
12,3,551.485,duplicate,
12,4,551.485,duplicate,
12,5,551.485,duplicate,
12,6,551.485,duplicate,
12,7,541.647
12,8,562.508,duplicate,
12,9,551.485,duplicate,
12,10,551.485,duplicate,
12,11,551.485,duplicate,
12,12,551.485,duplicate,
12,13,551.485,duplicate,
12,14,551.485,duplicate,
12,15,551.485,duplicate,
12,16,562.508,duplicate,
12,17,551.485,duplicate,
12,18,551.485,duplicate,
12,19,551.485,duplicate,
12,20,551.485,duplicate,
12,21,551.485,duplicate,
12,22,551.485,duplicate,
12,23,562.508,duplicate,
12,24,550.878
12,25,565.878
12,26,584.594
12,27,608.704
12,28,578.41
12,29,588.041
12,30,551.646
12,31,557.844
13,0,541.647
13,1,551.485
13,2,551.485,duplicate,
13,3,551.485,duplicate,
13,4,551.485,duplicate,
13,5,551.485,duplicate,
13,6,551.485,duplicate,
13,7,541.647,duplicate,
13,8,541.647,duplicate,
13,9,551.485,duplicate,
13,10,551.485,duplicate,
13,11,551.485,duplicate,
13,12,551.485,duplicate,
13,13,551.485,duplicate,
13,14,551.485,duplicate,
13,15,541.647,duplicate,
13,16,541.647,duplicate,
13,17,550.878
13,18,551.485,duplicate,
13,19,551.485,duplicate,
13,20,551.485,duplicate,
13,21,551.485,duplicate,
13,22,551.485,duplicate,
13,23,541.647,duplicate,
13,24,521.861
13,25,561.368
13,26,567.888
13,27,606.424
13,28,590.736
13,29,606.23
13,30,589.886
13,31,603.538
14,0,521.861
14,1,541.647
14,2,541.647,duplicate,
14,3,541.647,duplicate,
14,4,541.647,duplicate,
14,5,541.647,duplicate,
14,6,550.878
14,7,550.878,duplicate,
14,8,521.861,duplicate,
14,9,541.647,duplicate,
14,10,541.647,duplicate,
14,11,541.647,duplicate,
14,12,541.647,duplicate,
14,13,541.647,duplicate,
14,14,550.878,duplicate,
14,15,521.861,duplicate,
14,16,541.647,duplicate,
14,17,541.647,duplicate,
14,18,541.647,duplicate,
14,19,541.647,duplicate,
14,20,541.647,duplicate,
14,21,541.647,duplicate,
14,22,541.647,duplicate,
14,23,550.878,duplicate,
14,24,556.963
14,25,582.537
14,26,569.478
14,27,570.15
14,28,567.123
14,29,585.626
14,30,559.969
14,31,597.194
15,0,521.861
15,1,521.861,duplicate,
15,2,541.647
15,3,541.647,duplicate,
15,4,541.647,duplicate,
15,5,541.647,duplicate,
15,6,541.647,duplicate,
15,7,541.647,duplicate,
15,8,521.861,duplicate,
15,9,521.861,duplicate,
15,10,521.861,duplicate,
15,11,541.647,duplicate,
15,12,541.647,duplicate,
15,13,541.647,duplicate,
15,14,541.647,duplicate,
15,15,541.647,duplicate,
15,16,521.861,duplicate,
15,17,521.861,duplicate,
15,18,521.861,duplicate,
15,19,541.647,duplicate,
15,20,541.647,duplicate,
15,21,541.647,duplicate,
15,22,541.647,duplicate,
15,23,541.647,duplicate,
15,24,543.105
15,25,544.136
15,26,539.591
15,27,573.293
15,28,580.892
15,29,572.722
15,30,576.713
15,31,572.572
16,0,521.861
16,1,521.861,duplicate,
16,2,521.861,duplicate,
16,3,521.861,duplicate,
16,4,521.861,duplicate,
16,5,521.861,duplicate,
16,6,521.861,duplicate,
16,7,521.861,duplicate,
16,8,521.861,duplicate,
16,9,521.861,duplicate,
16,10,521.861,duplicate,
16,11,521.861,duplicate,
16,12,521.861,duplicate,
16,13,521.861,duplicate,
16,14,521.861,duplicate,
16,15,521.861,duplicate,
16,16,521.861,duplicate,
16,17,521.861,duplicate,
16,18,521.861,duplicate,
16,19,521.861,duplicate,
16,20,521.861,duplicate,
16,21,521.861,duplicate,
16,22,521.861,duplicate,
16,23,521.861,duplicate,
16,24,522.275
16,25,540.585
16,26,527.133
16,27,532.85
16,28,504.867
16,29,571.935
16,30,550.346
16,31,583.831
17,0,521.861
17,1,521.861,duplicate,
17,2,521.861,duplicate,
17,3,521.861,duplicate,
17,4,521.861,duplicate,
17,5,521.861,duplicate,
17,6,521.861,duplicate,
17,7,531.334
17,8,521.861,duplicate,
17,9,521.861,duplicate,
17,10,521.861,duplicate,
17,11,521.861,duplicate,
17,12,521.861,duplicate,
17,13,521.861,duplicate,
17,14,521.861,duplicate,
17,15,521.861,duplicate,
17,16,504.867
17,17,521.861,duplicate,
17,18,521.861,duplicate,
17,19,521.861,duplicate,
17,20,521.861,duplicate,
17,21,521.861,duplicate,
17,22,521.861,duplicate,
17,23,521.861,duplicate,
17,24,530.1
17,25,561.282
17,26,551.767
17,27,571.693
17,28,521.861,duplicate,
17,29,550.346
17,30,561.014
17,31,568.899
18,0,521.861
18,1,521.861,duplicate,
18,2,521.861,duplicate,
18,3,521.861,duplicate,
18,4,521.861,duplicate,
18,5,521.861,duplicate,
18,6,521.861,duplicate,
18,7,521.861,duplicate,
18,8,521.861,duplicate,
18,9,521.861,duplicate,
18,10,521.861,duplicate,
18,11,521.861,duplicate,
18,12,521.861,duplicate,
18,13,521.861,duplicate,
18,14,521.861,duplicate,
18,15,521.861,duplicate,
18,16,531.334
18,17,521.861,duplicate,
18,18,521.861,duplicate,
18,19,521.861,duplicate,
18,20,521.861,duplicate,
18,21,521.861,duplicate,
18,22,521.861,duplicate,
18,23,513.733
18,24,548.256
18,25,550.799
18,26,566.46
18,27,532.85
18,28,565.588
18,29,528.909
18,30,520.42
18,31,543.105
19,0,532.415
19,1,511.923
19,2,521.861
19,3,521.861,duplicate,
19,4,521.861,duplicate,
19,5,521.861,duplicate,
19,6,521.861,duplicate,
19,7,513.733
19,8,532.415,duplicate,
19,9,520.42
19,10,521.861,duplicate,
19,11,521.861,duplicate,
19,12,521.861,duplicate,
19,13,521.861,duplicate,
19,14,521.861,duplicate,
19,15,521.861,duplicate,
19,16,522.434
19,17,532.415,duplicate,
19,18,521.861,duplicate,
19,19,521.861,duplicate,
19,20,521.861,duplicate,
19,21,521.861,duplicate,
19,22,521.861,duplicate,
19,23,521.861,duplicate,
19,24,555.57
19,25,566.349
19,26,580.336
19,27,575.636
19,28,566.422
19,29,558.606
19,30,534.363
19,31,539.381
20,0,502.201
20,1,513.733
20,2,520.42
20,3,521.861
20,4,521.861,duplicate,
20,5,521.861,duplicate,
20,6,521.861,duplicate,
20,7,521.861,duplicate,
20,8,511.923
20,9,532.415
20,10,532.415,duplicate,
20,11,521.861,duplicate,
20,12,521.861,duplicate,
20,13,521.861,duplicate,
20,14,521.861,duplicate,
20,15,521.861,duplicate,
20,16,502.201,duplicate,
20,17,502.201,duplicate,
20,18,511.923,duplicate,
20,19,521.861,duplicate,
20,20,521.861,duplicate,
20,21,521.861,duplicate,
20,22,521.861,duplicate,
20,23,511.923,duplicate,
20,24,555.622
20,25,531.133
20,26,547.327
20,27,539.854
20,28,522.962
20,29,547.966
20,30,562.482
20,31,535.772
21,0,502.201
21,1,502.201,duplicate,
21,2,511.923
21,3,511.923,duplicate,
21,4,511.923,duplicate,
21,5,511.923,duplicate,
21,6,532.415
21,7,502.201,duplicate,
21,8,502.201,duplicate,
21,9,502.201,duplicate,
21,10,511.923,duplicate,
21,11,511.923,duplicate,
21,12,511.923,duplicate,
21,13,511.923,duplicate,
21,14,520.42
21,15,520.42,duplicate,
21,16,502.201,duplicate,
21,17,502.201,duplicate,
21,18,502.201,duplicate,
21,19,511.923,duplicate,
21,20,511.923,duplicate,
21,21,511.923,duplicate,
21,22,521.861
21,23,502.201,duplicate,
21,24,512.304
21,25,541.321
21,26,522.981
21,27,523.737
21,28,534.584
21,29,546.255
21,30,538.946
21,31,559.307
22,0,502.201
22,1,502.201,duplicate,
22,2,502.201,duplicate,
22,3,502.201,duplicate,
22,4,502.201,duplicate,
22,5,502.201,duplicate,
22,6,502.201,duplicate,
22,7,502.201,duplicate,
22,8,502.201,duplicate,
22,9,502.201,duplicate,
22,10,502.201,duplicate,
22,11,502.201,duplicate,
22,12,502.201,duplicate,
22,13,502.201,duplicate,
22,14,502.201,duplicate,
22,15,502.201,duplicate,
22,16,502.201,duplicate,
22,17,502.201,duplicate,
22,18,502.201,duplicate,
22,19,502.201,duplicate,
22,20,502.201,duplicate,
22,21,502.201,duplicate,
22,22,502.201,duplicate,
22,23,502.201,duplicate,
22,24,524.362
22,25,526.942
22,26,562.052
22,27,549.462
22,28,523.205
22,29,553.729
22,30,541.138
22,31,541.894
23,0,502.201
23,1,502.201,duplicate,
23,2,502.201,duplicate,
23,3,502.201,duplicate,
23,4,502.201,duplicate,
23,5,502.201,duplicate,
23,6,502.201,duplicate,
23,7,502.201,duplicate,
23,8,502.201,duplicate,
23,9,502.201,duplicate,
23,10,502.201,duplicate,
23,11,502.201,duplicate,
23,12,502.201,duplicate,
23,13,502.201,duplicate,
23,14,502.201,duplicate,
23,15,502.201,duplicate,
23,16,502.201,duplicate,
23,17,502.201,duplicate,
23,18,502.201,duplicate,
23,19,502.201,duplicate,
23,20,502.201,duplicate,
23,21,502.201,duplicate,
23,22,502.201,duplicate,
23,23,502.201,duplicate,
23,24,522.058
23,25,534.117
23,26,545.41
23,27,503.99
23,28,540.374
23,29,502.201,duplicate,
23,30,534.915
23,31,503.038
24,0,502.201
24,1,502.201,duplicate,
24,2,502.201,duplicate,
24,3,502.201,duplicate,
24,4,502.201,duplicate,
24,5,502.201,duplicate,
24,6,502.201,duplicate,
24,7,502.201,duplicate,
24,8,502.201,duplicate,
24,9,502.201,duplicate,
24,10,502.201,duplicate,
24,11,502.201,duplicate,
24,12,502.201,duplicate,
24,13,502.201,duplicate,
24,14,502.201,duplicate,
24,15,502.201,duplicate,
24,16,502.201,duplicate,
24,17,502.201,duplicate,
24,18,502.201,duplicate,
24,19,502.201,duplicate,
24,20,502.201,duplicate,
24,21,502.201,duplicate,
24,22,502.201,duplicate,
24,23,502.201,duplicate,
24,24,551.28
24,25,548.365
24,26,521.502
24,27,514.267
24,28,520.719
24,29,534.117
24,30,502.201,duplicate,
24,31,529.852
25,0,502.201
25,1,502.201,duplicate,
25,2,502.201,duplicate,
25,3,502.201,duplicate,
25,4,502.201,duplicate,
25,5,502.201,duplicate,
25,6,502.201,duplicate,
