Geração,Iteração,Fitness
0,0,507.817
0,1,697.274
0,2,668.279
0,3,779.792
0,4,640.008
0,5,709.574
0,6,669.825
0,7,479.421
0,8,727.089
0,9,613.235
0,10,552.917
0,11,724.502
0,12,660.594
0,13,560.768
0,14,730.169
0,15,542.274
0,16,625.038
0,17,458.935
0,18,630.919
0,19,620.078
0,20,633.349
0,21,582.428
0,22,441.989
0,23,537.54
0,24,717.991
0,25,663.989
0,26,616.493
0,27,510.425
0,28,624.715
0,29,611.493
0,30,402.341
0,31,546.631
0,32,662.398
0,33,642.759
0,34,659.776
0,35,721.566
0,36,677.629
0,37,569.984
0,38,541.1
0,39,757.45
0,40,613.583
0,41,620.954
0,42,703.487
0,43,477.22
0,44,836.83
0,45,583.672
0,46,584.011
0,47,573.049
0,48,637.058
0,49,726.142
0,50,652.506
0,51,699.286
0,52,615.75
0,53,677.667
0,54,632.909
0,55,593.349
0,56,586.56
0,57,668.031
0,58,636.506
0,59,487.403
0,60,663.765
0,61,601.576
0,62,774.325
0,63,477.264
0,64,578.268
0,65,740.524
0,66,692.478
0,67,626.722
0,68,648.551
0,69,531.915
0,70,685.318
0,71,592.404
0,72,577.761
0,73,729.339
0,74,622.909
0,75,660.191
0,76,701.27
0,77,520.83
0,78,725.881
0,79,795.586
0,80,695.465
0,81,652.914
0,82,616.372
0,83,641.664
0,84,794.189
0,85,768.418
0,86,519.096
0,87,592.824
0,88,580.249
0,89,678.799
0,90,667.969
0,91,558.218
0,92,734.954
0,93,522.837
0,94,617.436
0,95,567.198
0,96,729.103
0,97,512.498
0,98,699.211
0,99,648.094
0,100,540.784
0,101,517.585
0,102,685.061
0,103,705.976
0,104,596.335
0,105,419.99
0,106,505.113
0,107,661.573
0,108,600.498
0,109,604.136
0,110,632.713
0,111,812.481
0,112,484.131
0,113,751.18
0,114,536.315
0,115,711.134
0,116,713.398
0,117,501.572
0,118,598.094
0,119,648.919
0,120,736.833
0,121,561.362
0,122,732.192
0,123,449.341
0,124,586.069
0,125,610.845
0,126,626.609
0,127,510.465
0,128,736.891
0,129,498.739
0,130,634.986
0,131,787.284
0,132,556.379
0,133,389.3
0,134,473.54
0,135,357.155
0,136,562.331
0,137,621.809
0,138,683.48
0,139,561.923
0,140,594.877
0,141,652.617
0,142,732.24
0,143,631.366
0,144,614.307
0,145,708.365
0,146,487.289
0,147,730.391
0,148,404.189
0,149,592.644
1,0,503.452
1,1,368.447
1,2,313.878
1,3,408.672
1,4,539.198
1,5,415.525
1,6,448.662
1,7,370.739
1,8,473.612
1,9,430.834
1,10,505.271
1,11,513.623
1,12,459.242
1,13,540.359
1,14,376.493
1,15,424.718
1,16,358.464
1,17,449.023
1,18,468.229
1,19,399.17
1,20,399.192
1,21,405.249
1,22,374.083
1,23,346.138
1,24,383.253
1,25,436.571
1,26,383.192
1,27,405.845
1,28,414.779
1,29,581.211
1,30,489.069
1,31,465.38
2,0,239.594
2,1,384.824
2,2,375.967
2,3,303.277
2,4,399.947
2,5,359.268
2,6,503.072
2,7,385.155
2,8,264.768
2,9,459.107
2,10,419.615
2,11,324.458
2,12,378.666
2,13,421.523
2,14,383.88
2,15,383.192
2,16,410.656
2,17,345.196
2,18,312.182
2,19,411.943
2,20,428.487
2,21,350.836
2,22,453.956
2,23,460.684
2,24,347.987
2,25,342.613
2,26,409.69
2,27,409.072
2,28,350.701
2,29,390.029
2,30,390.286
2,31,337.303
3,0,264.768
3,1,244.64
3,2,283.315
3,3,295.861
3,4,270.092
3,5,364.297
3,6,342.613
3,7,297.68
3,8,235.989
3,9,264.768,duplicate,
3,10,453.01
3,11,342.133
3,12,391.791
3,13,319.274
3,14,373.564
3,15,305.956
3,16,233.479
3,17,283.609
3,18,264.249
3,19,373.554
3,20,292.057
3,21,236.32
3,22,376.819
3,23,251.497
3,24,304.309
3,25,288.087
3,26,362.312
3,27,297.851
3,28,274.7
3,29,349.415
3,30,402.778
3,31,413.617
4,0,235.989
4,1,262.445
4,2,241.591
4,3,159.19
4,4,308.812
4,5,231.65
4,6,264.768
4,7,233.479
4,8,297.002
4,9,185.502
4,10,255.36
4,11,231.744
4,12,269.618
4,13,230.518
4,14,264.768,duplicate,
4,15,272.099
4,16,279.281
4,17,290.027
4,18,325.725
4,19,301.826
4,20,251.497
4,21,237.859
4,22,264.768,duplicate,
4,23,183.61
4,24,251.015
4,25,264.994
4,26,358.179
4,27,308.477
4,28,298.909
4,29,334.558
4,30,312.802
4,31,270.306
5,0,211.373
5,1,185.502
5,2,244.456
5,3,231.65
5,4,231.744
5,5,263.542
5,6,235.989
5,7,159.19
5,8,159.19,duplicate,
5,9,235.555
5,10,244.456,duplicate,
5,11,233.649
5,12,248.831
5,13,185.873
5,14,297.002
5,15,235.989,duplicate,
5,16,151.984
5,17,191.033
5,18,176.199
5,19,283.724
5,20,238.156
5,21,206.48
5,22,269.489
5,23,159.19,duplicate,
5,24,180.647
5,25,224.99
5,26,247.467
5,27,219.546
5,28,284.68
5,29,202.206
5,30,233.479
5,31,270.453
6,0,159.19
6,1,159.19,duplicate,
6,2,159.19,duplicate,
6,3,201.8
6,4,141.884
6,5,207.236
6,6,212.451
6,7,135.156
6,8,151.984
6,9,159.19,duplicate,
6,10,159.19,duplicate,
6,11,134.086
6,12,161.847
6,13,185.502
6,14,185.873
6,15,200.17
6,16,151.984,duplicate,
6,17,159.19,duplicate,
6,18,159.19,duplicate,
6,19,149.422
6,20,161.943
6,21,150.241
6,22,198.754
6,23,155.568
6,24,155.196
6,25,273.806
6,26,240.984
6,27,251.116
6,28,164.768
6,29,189.557
6,30,226.747
6,31,215.552
7,0,121.898
7,1,141.884
7,2,141.884,duplicate,
7,3,125.466
7,4,151.984
7,5,151.984,duplicate,
7,6,179.764
7,7,164.079
7,8,134.086
7,9,135.156
7,10,141.884,duplicate,
7,11,125.466,duplicate,
7,12,159.19
7,13,151.984,duplicate,
7,14,151.984,duplicate,
7,15,155.196
7,16,134.086,duplicate,
7,17,130.973
7,18,141.884,duplicate,
7,19,147.72
7,20,139.494
7,21,151.984,duplicate,
7,22,179.764,duplicate,
7,23,137.708
7,24,153.704
7,25,182.309
7,26,178.091
7,27,181.632
7,28,220.471
7,29,158.136
7,30,226.945
7,31,206.77
8,0,134.086
8,1,125.466
8,2,130.973
8,3,130.973,duplicate,
8,4,134.086,duplicate,
8,5,121.898
8,6,142.813
8,7,125
8,8,121.898,duplicate,
8,9,125.466,duplicate,
8,10,118.063
8,11,145.596
8,12,134.086,duplicate,
8,13,134.086,duplicate,
8,14,135.156
8,15,137.708
8,16,121.898,duplicate,
