Geração,Iteração,Fitness
0,0,166.394
0,1,151.917
0,2,96.8914
0,3,185.633
0,4,158.773
0,5,162.626
0,6,158.86
0,7,174.353
0,8,215.221
0,9,131.508
0,10,173.649
0,11,143.001
0,12,158.132
0,13,119.297
0,14,136.539
0,15,127.099
0,16,161.992
0,17,149.114
0,18,102.881
0,19,160.284
0,20,185.983
0,21,74.0962
0,22,128.394
0,23,165.906
0,24,149
0,25,185.295
0,26,199.197
0,27,142.264
0,28,125.727
0,29,191.089
0,30,153.376
0,31,176.18
0,32,190.786
0,33,121.612
0,34,179.319
0,35,207.011
0,36,136.976
0,37,171.183
0,38,171.043
0,39,120.47
0,40,145.802
0,41,174.357
0,42,131.08
0,43,109.714
0,44,125.102
0,45,167.975
0,46,104.532
0,47,152.415
0,48,137.212
0,49,163.805
0,50,119.436
0,51,151.746
0,52,127.305
0,53,171.742
0,54,184.209
0,55,186.08
0,56,163.362
0,57,185.406
0,58,185.883
0,59,172.202
0,60,115.338
0,61,136.799
0,62,178.131
0,63,212.644
0,64,139.007
0,65,184.47
0,66,121.804
0,67,157.791
0,68,178.064
0,69,174.605
0,70,111.319
0,71,185.686
0,72,150.157
0,73,182.666
0,74,194.054
0,75,178.742
0,76,108.328
0,77,131.041
0,78,143.274
0,79,177.526
0,80,164.864
0,81,163.047
0,82,189.624
0,83,170.588
0,84,109.175
0,85,167.919
0,86,162.97
0,87,195.159
0,88,173.957
0,89,135.912
0,90,176.506
0,91,194.482
0,92,194.297
0,93,179.201
0,94,134.086
0,95,213.059
0,96,200.741
0,97,165.162
0,98,154.941
0,99,76.8104
0,100,168.126
0,101,155.101
0,102,133.708
0,103,177.198
0,104,168.712
0,105,125.111
0,106,199.341
0,107,190.775
0,108,199.23
0,109,108.163
0,110,177.201
0,111,160.309
0,112,199.085
0,113,172.426
0,114,188.745
0,115,160.952
0,116,200.78
0,117,136.463
0,118,183.385
0,119,137.452
0,120,168.435
0,121,75.7022
0,122,179.376
0,123,188.551
0,124,189.284
0,125,140.663
0,126,168.837
0,127,170.994
0,128,198.05
0,129,150.558
0,130,166.277
0,131,129.397
0,132,108.463
0,133,166.886
0,134,181.2
0,135,167.304
0,136,107.064
0,137,151.551
0,138,163.291
0,139,154.777
0,140,197.39
0,141,122.931
0,142,147.999
0,143,156.719
0,144,168.726
0,145,172.125
0,146,120.067
0,147,109.774
0,148,172.387
0,149,193.972
1,0,75.7022
1,1,75.7022,duplicate,
1,2,88.2015
1,3,102.867
1,4,90.205
1,5,107.064
1,6,103.744
1,7,72.6979
1,8,74.0962
1,9,112.433
1,10,112.78
1,11,109.436
1,12,87.8089
1,13,92.8966
1,14,128.034
1,15,71.9268
1,16,86.3503
1,17,103.81
1,18,121.885
1,19,113.376
1,20,101.758
1,21,99.3328
1,22,110.854
1,23,110.854,duplicate,
1,24,107.947
1,25,131.842
1,26,97.9045
1,27,129.397
1,28,78.6341
1,29,138.474
1,30,127.79
1,31,135.607
2,0,35.2968
2,1,110.567
2,2,75.7022
2,3,75.7022,duplicate,
2,4,72.9263
2,5,122.512
2,6,45.2092
2,7,87.8089
2,8,71.9268
2,9,35.2968,duplicate,
2,10,110.454
2,11,75.7022,duplicate,
2,12,76.3851
2,13,69.4179
2,14,92.1848
2,15,79.1028
2,16,72.7151
2,17,84.3128
2,18,102.025
2,19,75.7022,duplicate,
2,20,81.5409
2,21,78.6341
2,22,102.242
2,23,69.8403
2,24,120.01
2,25,81.6116
2,26,92.3687
2,27,99.6887
2,28,107.94
2,29,98.9172
2,30,86.3503
2,31,104.137
3,0,35.2968
3,1,45.2092
3,2,36.4414
3,3,79.1028
3,4,71.9268
3,5,35.2968,duplicate,
3,6,36.4414,duplicate,
3,7,72.9263
3,8,35.2968,duplicate,
3,9,36.4414,duplicate,
3,10,45.2092,duplicate,
3,11,78.6341
3,12,102.627
3,13,71.9268,duplicate,
3,14,111.603
3,15,35.2968,duplicate,
3,16,35.2968,duplicate,
3,17,0.99855

Generation: 3
Estrutura final encontrada, com diferença de volume = 0.99855
Resultados gravados com sucesso no arquivo 'resultados.txt'.
Tempo de execucao: 115 minutos
