Geração,Iteração,Fitness
0,0,419.383
0,1,693.902
0,2,709.514
0,3,748.554
0,4,515.283
0,5,676.782
0,6,789.04
0,7,699.414
0,8,677.796
0,9,515.518
0,10,649.937
0,11,710.024
0,12,461.6
0,13,554.903
0,14,521.141
0,15,520.405
0,16,460.64
0,17,600.066
0,18,645.851
0,19,717.681
0,20,593.819
0,21,605.966
0,22,537.57
0,23,698.062
0,24,520.763
0,25,551.188
0,26,494.961
0,27,477.501
0,28,479.489
0,29,768.332
0,30,714.241
0,31,659.03
0,32,671.146
0,33,744.25
0,34,518.976
0,35,598.932
0,36,710.027
0,37,815.53
0,38,487.122
0,39,552.022
0,40,625.437
0,41,586.89
0,42,686.325
0,43,722.979
0,44,824.933
0,45,459.733
0,46,438.372
0,47,636.159
0,48,487.509
0,49,435.649
0,50,596.179
0,51,730.548
0,52,689.612
0,53,243.384
0,54,600.7
0,55,603.959
0,56,515.912
0,57,451.579
0,58,610.798
0,59,534.519
0,60,644.091
0,61,464.204
0,62,554.164
0,63,681.24
0,64,583.211
0,65,621.284
0,66,462.89
0,67,489.166
0,68,681.006
0,69,558.643
0,70,637.33
0,71,642.254
0,72,849.66
0,73,753.664
0,74,538.567
0,75,743.013
0,76,694.497
0,77,585.407
0,78,636.225
0,79,516.427
0,80,692.097
0,81,769.563
0,82,732.031
0,83,454.315
0,84,621.301
0,85,648.996
0,86,525.414
0,87,474.012
0,88,720.713
0,89,576.867
0,90,598.571
0,91,455.312
0,92,682.468
0,93,685.844
0,94,595.178
0,95,405.429
0,96,375.662
0,97,489.083
0,98,548.401
0,99,586.401
0,100,664.094
0,101,481.844
0,102,741.046
0,103,538.388
0,104,792.338
0,105,644.018
0,106,474.328
0,107,716.213
0,108,475.419
0,109,693.315
0,110,506.841
0,111,649.708
0,112,549.229
0,113,507.172
0,114,590.903
0,115,648.834
0,116,428.664
0,117,545.253
0,118,711.709
0,119,625.879
0,120,584.479
0,121,699.6
0,122,535.926
0,123,625.817
0,124,582.698
0,125,510.905
0,126,667.84
0,127,631.767
0,128,644.719
0,129,704.154
0,130,712.798
0,131,499.039
0,132,597.434
0,133,687.21
0,134,707.934
0,135,673.169
0,136,870.996
0,137,562.307
0,138,581.289
0,139,640.226
0,140,561.522
0,141,701.386
0,142,680.548
0,143,781.144
0,144,553.127
0,145,632.439
0,146,545.731
0,147,645.722
0,148,772.567
0,149,706.921
1,0,359.823
1,1,438.645
1,2,428.314
1,3,436.892
1,4,398.06
1,5,382.131
1,6,451.579
1,7,380.802
1,8,288.845
1,9,408.532
1,10,373.536
1,11,397.834
1,12,424.222
1,13,405.966
1,14,371.496
1,15,506.13
1,16,303.112
1,17,429.917
1,18,523.766
1,19,413.446
1,20,560.492
1,21,426.236
1,22,431.29
1,23,497.522
1,24,252.938
1,25,371.893
1,26,418.635
1,27,404.803
1,28,407.979
1,29,474.154
1,30,502.024
1,31,482.252
2,0,288.845
2,1,264.679
2,2,348.815
2,3,351.329
2,4,383.004
2,5,375.943
2,6,372.623
2,7,382.416
2,8,268.33
2,9,303.112
2,10,343.482
2,11,323.369
2,12,479.394
2,13,388.943
2,14,379.264
2,15,342.554
2,16,268.33,duplicate,
