Geração,Iteração,Fitness
0,0,386.426
0,1,540.136
0,2,348.7
0,3,462.122
0,4,466.065
0,5,577.713
0,6,526.04
0,7,464.384
0,8,338.138
0,9,403.286
0,10,436.419
0,11,431.196
0,12,386.013
0,13,302.859
0,14,399.362
0,15,365.463
0,16,453.741
0,17,298.751
0,18,442.657
0,19,406.879
0,20,581.774
0,21,366.277
0,22,407.57
0,23,384.619
0,24,402.66
0,25,467.855
0,26,429.382
0,27,468.441
0,28,448.063
0,29,449.076
0,30,356.421
0,31,459.307
0,32,444.032
0,33,428.145
0,34,374.734
0,35,456.721
0,36,470.435
0,37,399.948
0,38,302.799
0,39,405.033
0,40,239.255
0,41,257.88
0,42,462.536
0,43,455.042
0,44,411.786
0,45,472.764
0,46,488.778
0,47,445.281
0,48,396.241
0,49,415.811
0,50,320.497
0,51,383.622
0,52,379.319
0,53,475.727
0,54,420.449
0,55,354.83
0,56,459.556
0,57,480.625
0,58,364.1
0,59,495.53
0,60,319.077
0,61,568.075
0,62,490.813
0,63,297.204
0,64,317.811
0,65,321.753
0,66,279.476
0,67,368.833
0,68,413.947
0,69,374.525
0,70,439.602
0,71,408.609
0,72,481.885
0,73,420.041
0,74,410.421
0,75,405.294
0,76,499.579
0,77,485.589
0,78,369.252
0,79,305.408
0,80,389.089
0,81,297.857
0,82,480.76
0,83,402.083
0,84,414.685
0,85,280.853
0,86,443.826
0,87,443.029
0,88,439.619
0,89,455.849
0,90,399.845
0,91,328.897
0,92,351.46
0,93,282.847
0,94,516.925
0,95,399.398
0,96,380.049
0,97,427.38
0,98,350.456
0,99,401.411
0,100,355.738
0,101,339.442
0,102,376.389
0,103,373.495
0,104,355.624
0,105,420.303
0,106,376.232
0,107,339.8
0,108,448.114
0,109,437.76
0,110,357.964
0,111,438.307
0,112,326.434
0,113,379.8
0,114,310.435
0,115,357.151
0,116,453.316
0,117,496.405
0,118,499.885
0,119,464.656
0,120,382.813
0,121,549.62
0,122,325.31
0,123,261.633
0,124,367.308
0,125,427.171
0,126,396.272
0,127,333.336
0,128,277.117
0,129,297.559
0,130,531.373
0,131,466.381
0,132,460.997
0,133,472.141
0,134,441.266
0,135,415.118
0,136,310.852
0,137,437.458
0,138,451.796
0,139,332.95
0,140,406.457
0,141,498.304
0,142,418.618
0,143,427.474
0,144,371.368
0,145,263.982
0,146,339.726
0,147,493.823
0,148,250.509
0,149,464.691
1,0,360.597
1,1,283.367
1,2,232.66
1,3,229.921
1,4,263.982
1,5,258.28
1,6,270.071
1,7,239.255
1,8,321.742
1,9,294.719
1,10,177.733
1,11,261.633
1,12,300.409
1,13,238.823
1,14,280.092
1,15,218.944
1,16,316.866
1,17,188.675
1,18,228.075
1,19,249.582
1,20,292.51
1,21,329.587
1,22,352.446
1,23,274.735
